title,authors,year,type,subject,source,doi,direct_url,abstract
Biology 2e,"Clark, Mary Ann; Choi, Jung; Douglas, Matthew",2018,Textbook,Natural Sciences; Biology,OpenStax,N/A,https://openstax.org/books/biology-2e/pages/1-introduction,Biology 2e is designed to cover the scope and sequence requirements of a typical two-semester biology course for science majors. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens.
Chemistry 2e,"Flowers, Paul; Theopold, Klaus; Langley, Richard; Robinson, William R.",2019,Textbook,Natural Sciences; Chemistry,OpenStax,N/A,https://openstax.org/books/chemistry-2e/pages/1-introduction,Chemistry 2e is designed to meet the scope and sequence requirements of the two-semester general chemistry course. The textbook provides an important opportunity for students to learn the core concepts of chemistry and understand how those concepts apply to their lives and the world around them.
Business Writing for Everyone,"Cruthers, Arley",2020,Textbook,Business; Communication & Writing,BCcampus Open Textbooks,N/A,https://collection.bccampus.ca/textbook/mXtpxjny/,"An inclusive guide to writing in the workplace. The book takes a process-oriented, storytelling approach to composition: focusing less on genre and more on the decisions that effective business communicators make."
Managerial Accounting,"Heisinger, Kurt; Hoyle, Joe Ben",2012,Textbook,Business; Accounting,OTL,N/A,https://open.umn.edu/opentextbooks/books/managerial-accounting,"This book is for students who want to learn accounting in the most efficient way possible, balancing coursework with personal schedules. It delivers a modern look at managerial accounting while addressing the renewed focus on ethical behavior."
Introduction to Electrical Engineering and Computer Science I: Lecture Videos,"Kaelbling, Leslie; White, Jacob; Abelson, Harold; Freeman, Dennis; Lozano-Pérez, Tomás; Chuang, Isaac",2011,Course Material,Engineering; Electrical Engineering; Computer Science; Artificial Intelligence,MIT OCW,N/A,https://ocw.mit.edu/courses/6-01sc-introduction-to-electrical-engineering-and-computer-science-i-spring-2011/,"This course provides an integrated introduction to electrical engineering and computer science, taught using substantial laboratory experiments with mobile robots. The primary goal is to learn to appreciate and use the fundamental design principles of modularity and abstraction."
Introductory Biology: Lecture Notes,"Imperiali, Barbara; Martin, Adam; Ray, Diviya",2018,Course Material,Science; Biology; Health and Medicine,MIT OCW,N/A,https://ocw.mit.edu/courses/7-016-introductory-biology-fall-2018/,"This course is an introduction to the fundamental principles of biology. It emphasizes the molecular mechanisms of heredity, gene expression, and metabolism, and also examines the cellular basis of physiology and development."
pi-Flow: Policy-Based Few-Step Generation via Imitation Distillation,"Chen, Hansheng; Zhang, Kai; Tan, Hao; Guibas, Leonidas; Wetzstein, Gordon; Bi, Sai",2025,Research Paper,Machine Learning; Artificial Intelligence; Computer Vision and Pattern Recognition,arXiv,N/A,https://arxiv.org/pdf/2510.14974,N/A
Identity-Link IRT for Label-Free LLM Evaluation: Preserving Additivity in TVD-MI Scores,"Robertson, Zachary",2025,Research Paper,Machine Learning; Machine Learning (stat.ML),arXiv,N/A,https://arxiv.org/pdf/2510.14966,Pairwise comparisons of large language models using total variation distance mutual information (TVD-MI) produces binary critic decisions per pair. We show averaging TVD-MI's binary trials yields centered-probability scores with an additive structure suitable for Item-Response Theory (IRT) without needing non-linear link functions.
Updating the Definition of Cancer,"Amend, S. R.; Sjøstrom, K.; Pienta, K. J.; Amend, M.",2023,Research Paper,Cancer Biology; Genetics,PubMed,10.1158/0008-5472.CAN-23-0143,https://aacrjournals.org/cancerres/article/83/13/2125/726157/Updating-the-Definition-of-Cancer,We propose a revised definition of cancer: Cancer is a disease of uncontrolled proliferation by transformed cells subject to evolution by natural selection. We believe this definition captures the essence of the majority of previous and current definitions.
Revolutionizing Cancer Treatment: Recent Advances in Immunotherapy,"Ghemrawi, Rose; Abuamer, Lama; Kremesh, Sedra; Hussien, Ghadeer; Ahmed, Rahaf; Mousa, Walaa; Khoder, Ghalia; Khair, Mostafa",2024,Research Paper,Cancer; Immunotherapy; Oncology,PubMed,10.3390/biomedicines12092158,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11428581/pdf/biomedicines-12-02158.pdf,"This review explores the scope and impact of various immunotherapeutic strategies, including monoclonal antibodies, chimeric antigen receptor (CAR)-T cell therapy, checkpoint inhibitors, cytokine therapy, and therapeutic vaccines."
